lower,upper,rmd
713623846352979940529142984724747568191373312,1427247692705959881058285969449495136382746623,e08c4d3bc9cf2b3e2cb88de2bfaa4fe8c7aa3f24
1427247692705959881058285969449495136382746624,2854495385411919762116571938898990272765493247,1a4fb632f0de0c53a0a31d57f840a19e56c645ee
2854495385411919762116571938898990272765493248,5708990770823839524233143877797980545530986495,da56cd815fa2f0d6a4ce6d25ed7b1a01d9f9bc6b
5708990770823839524233143877797980545530986496,11417981541647679048466287755595961091061972991,4ccf94a1b0efd63cddeee0ef5eee5ebe720cfcbf
11417981541647679048466287755595961091061972992,22835963083295358096932575511191922182123945983,edd2e206825fa8949d1304cd82c08d64b222f2eb
22835963083295358096932575511191922182123945984,45671926166590716193865151022383844364247891967,6b8b7830f73c5bf9e8beb9f161ad82b3bde992e4
45671926166590716193865151022383844364247891968,91343852333181432387730302044767688728495783935,9ea3f29aaedf7da10b1488934c50a39e271b0b64
91343852333181432387730302044767688728495783936,182687704666362864775460604089535377456991567871,242d790e5a168043c76f0539fd894b73ee67b3b3
182687704666362864775460604089535377456991567872,365375409332725729550921208179070754913983135743,628dacebb0faa7f81670e174ca4c8a95a7e37029
365375409332725729550921208179070754913983135744,730750818665451459101842416358141509827966271487,2ac1295b4e54b3f15bb0a99f84018d2082495645
730750818665451459101842416358141509827966271488,1461501637330902918203684832716283019655932542975,e84818e1bf7f699aa6e28ef9edfb582099099292
